id,title,description,risk
accessanalyzer_enabled,Check if IAM Access Analyzer is enabled,Check if IAM Access Analyzer is enabled,"AWS IAM Access Analyzer helps you identify the resources in your organization and accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity. This lets you identify unintended access to your resources and data, which is a security risk. IAM Access Analyzer uses a form of mathematical analysis called automated reasoning, which applies logic and mathematical inference to determine all possible access paths allowed by a resource policy."
accessanalyzer_enabled_without_findings,Check if IAM Access Analyzer is enabled without findings,Check if IAM Access Analyzer is enabled without findings,"AWS IAM Access Analyzer helps you identify the resources in your organization and accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity. This lets you identify unintended access to your resources and data, which is a security risk. IAM Access Analyzer uses a form of mathematical analysis called automated reasoning, which applies logic and mathematical inference to determine all possible access paths allowed by a resource policy."
account_maintain_current_contact_details,Maintain current contact details.,Maintain current contact details.,"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details, and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner, AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation, proactive measures may be taken, including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question."
account_maintain_different_contact_details_to_security_billing_and_operations,"Maintain different contact details to security, billing and operations.","Maintain different contact details to security, billing and operations.","Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details, and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner, AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation, proactive measures may be taken, including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question."
account_security_contact_information_is_registered,Ensure security contact information is registered.,Ensure security contact information is registered.,AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.
account_security_questions_are_registered_in_the_aws_account,Ensure security questions are registered in the AWS account.,Ensure security questions are registered in the AWS account.,The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established. When creating a new AWS account a default super user is automatically created. This account is referred to as the root account. It is recommended that the use of this account be limited and highly controlled. During events in which the root password is no longer accessible or the MFA token associated with root is lost/destroyed it is possible through authentication using secret questions and associated answers to recover root login access.
acm_certificates_expiration_check,Check if ACM Certificates are about to expire in specific days or less,Check if ACM Certificates are about to expire in specific days or less,Expired certificates can impact service availability.
acm_certificates_transparency_logs_enabled,Check if ACM certificates have Certificate Transparency logging enabled,Check if ACM certificates have Certificate Transparency logging enabled,"Domain owners can search the log to identify unexpected certificates, whether issued by mistake or malice. Domain owners can also identify Certificate Authorities (CAs) that are improperly issuing certificates."
acm_certificates_with_secure_key_algorithms,Check if ACM Certificates use a secure key algorithm,"Check if ACM Certificates use a secure key algorithm (RSA 2048 bits or more, or ECDSA 256 bits or more). For example certificates that use RSA-1024 can be compromised because the encryption could be broken in no more than 2^80 guesses making it vulnerable to a factorization attack.","Certificates with weak RSA or ECDSA keys can be compromised because the length of the key defines the security of the encryption. The number of bits in the key determines the number of guesses an attacker would have to make in order to decrypt the data. The more bits in the key, the more secure the encryption."
apigateway_restapi_authorizers_enabled,Check if API Gateway has configured authorizers at api or method level.,Check if API Gateway has configured authorizers at api or method level.,If no authorizer is enabled anyone can use the service.
